CODIGO,NOMBRE,NOMBRE PROVEEDOR,OBSERVACIONES,MEDIDA,CODIGO DE BARRAS,COD REFERENCIA
273005679,DISPARADOR TRIGGERTECH REM 700 DIESTRO 2 TIEMPO CU,"DIKAR, S. COOP",,,"8,41E+12",A04342
273005587,DISPARADOR TRIGGERTECH REM 700 PRI RIGHT CURVADO,"DIKAR, S. COOP",,,"8,41E+12",A09337
273005556,DISPARADOR TRIGGERTECH REM 700 SP RIGHT FLAT STAI,"DIKAR, S. COOP",,,"8,41E+12",A09334
10191,DISPENSADOR AUTOMATICO DIGITAL HUNTERNATURE,"IMPORTACIONES HUNTER, SL",,,10191,10191
53695127,DISPENSADOR AUTOMATICO MOULTRIE ALL-IN-ONE,"ADS HUNTERWORLD, SL",,,53695123677,MFHP12367
28000039,DISPENSADOR TAGRAC XM1 NO BATERIA,PROVEDORES VARIOS,,,"8,00E+12",28000039
TAXDISCJO,DSICO TRAPO PULIDORA JOYERO,"IBERIA HUNT TAXIDERMY, SL",,,TAXDISCJO,DISCO JO DTJO
80217364,DUAL BRAKE BLASER TIPO AM 15X1,"BLASER OUTDOOR GROUP, SL",,,80217364,80217364
S58820709,DUAL BRAKE SAKO S20 CL30,"BERETTA BENELLI IBERICA, SA",,,"6,44E+12",
221003562,ELECTRODO CORTO ANTI-LADRIDOS DOGTRACE,"ARCEA EUROSPORT, SL",,,"8,60E+12",
221008284,ELECTRODO LARGO ANTI-LADRIDOS DOGTRACE,"ARCEA EUROSPORT, SL",,,"8,60E+12",
00003034A,ELECTRODOS CORTOS PAR,"EISPORT, SL",,,3034A,3034A
412005011,ELEVADOR ABRILLANTADO,"BERETTA BENELLI IBERICA, SA",,,412005011,412005011
285000641,ELIMINADOR DE COBRE BLACK 4 OZ HOPPES,"BORCHERS, SA",,,26285000641,HBCCE
26285004,ELIMINADOR DE COBRE HOPPE´S BLACK,"BORCHERS, SA",,118ML,26285002034,
00FX20176,EMBELLECEDOR ROSCA 1/2 UNEF,EMERITO R. RODRIGUEZ FRIAS,,,FX20176,FX20176
G0531301,EMBOLO PISTON BENELLI,"BERETTA BENELLI IBERICA, SA",,,G0531301,
869192586,EMISORA ALAN HP 08,"COMERCIAL EL CALDEN, SL",,,"8,01E+12",G1176
869202063,EMISORA MIDLAND CT 590S,"COMERCIAL EL CALDEN, SL",,,"8,01E+12",C1354
869207211,EMISORA MIDLAND CT 990 EBR,"COMERCIAL EL CALDEN, SL",,,"8,01E+12",C1339.02
869205033,EMISORA MIDLAND CT590S BLAZE,"COMERCIAL EL CALDEN, SL",,,"8,01E+12",C135402
869201943,EMISORA MIDLAND G7PRO DUAL,"COMERCIAL EL CALDEN, SL",,,"8,01E+12",C109013
801186927,EMISORA MIDLAND G7PRO MIMETIC,"COMERCIAL EL CALDEN, SL",,,"8,01E+12",C109.15
801186922,EMISORA MIDLAND G9PRO MIMETIC,"COMERCIAL EL CALDEN, SL",,,"8,01E+12",C1385.01
869197208,EMISORA MIDLAND XT70,"COMERCIAL EL CALDEN, SL",,,"8,01E+12",C1180
959169577,EMISORA YAESU FT65,"ELECTRONICA OLAIZ, SL",,,"4,91E+12",
658120211,ENCENDEDOR GERBER BEAR GRYLLS,"GAMO OUTDOOR, SL",,,13658120211,
ESC041199,ESCOPETA BELLMONTE 50 ANIVERSARIO,"BERETTA BENELLI IBERICA, SA",,,BENESC041199,
ESC041030,ESCOPETA BENELLI BELLMONTE 3 ASTROBLACK GRIS 71,"BERETTA BENELLI IBERICA, SA",,,BENESC041030,BENESC041030
ESC041033,ESCOPETA BENELLI BELLMONTE 3 ASTROBLACK NEGRA 71,"BERETTA BENELLI IBERICA, SA",,,BENESC041033,BENESC041033
ESC041008,ESCOPETA BENELLI BELLMONTE I 66,"BERETTA BENELLI IBERICA, SA",,,BENESC041008,BENESC041008
ESC041009,ESCOPETA BENELLI BELLMONTE I 71,"BERETTA BENELLI IBERICA, SA",,,BENESC041009,BENESC041009
420140CSE,ESCOPETA BENELLI BELLMONTE I MAX7 12 71,"BERETTA BENELLI IBERICA, SA",,,420140CSE,BENESC041024
ESC041024,ESCOPETA BENELLI BELLMONTE I MAX7 71,"BERETTA BENELLI IBERICA, SA",,,BENES041024,BENES041024
ESC041017,ESCOPETA BENELLI BELLMONTE I SLUG,"BERETTA BENELLI IBERICA, SA",,,ESC041017,BENESC041050
ESC041020,ESCOPETA BENELLI BELLMONTE I SYNTHETIC 71,"BERETTA BENELLI IBERICA, SA",,,BENESC041020,BENESC041020
ESC041013,ESCOPETA BENELLI BELLMONTE II 71,"BERETTA BENELLI IBERICA, SA",,,BENES041013,BENES041013
ESC041811,ESCOPETA BENELLI M2 COMFOTECH ZURDO 71 VI,"BERETTA BENELLI IBERICA, SA",,,ESC041811,BENESC041811
ESC044219,ESCOPETA BENELLI MONTEFELTRO BLACK SYNT 66,"BERETTA BENELLI IBERICA, SA",,,BENESC044219,BENESC044219
ESC044220,ESCOPETA BENELLI MONTEFELTRO BLACK SYNT 71,"BERETTA BENELLI IBERICA, SA",,,BENESC044220,BENESC044220
ESC044228,ESCOPETA BENELLI MONTEFELTRO BLACK SYNT LH C/12 71,"BERETTA BENELLI IBERICA, SA",PARA ZURDO,,BENESC044228,BENESC044228
ESC044223,ESCOPETA BENELLI MONTEFELTRO BLACK SYNT c20 711,"BERETTA BENELLI IBERICA, SA",,,BENESC044223,BENESC044223
510440CSE,ESCOPETA BENELLI MONTEFELTRO SILVER 12 71,"BERETTA BENELLI IBERICA, SA",,,510440CSE,BENESC044015
ESC044015,ESCOPETA BENELLI MONTEFELTRO SILVER 71,"BERETTA BENELLI IBERICA, SA",,,BENESC044015,BENESC044015
ESC044216,ESCOPETA BENELLI MONTEFELTRO WOOD 71,"BERETTA BENELLI IBERICA, SA",,,BENESC044216,BENESC044216
ESC044225,ESCOPETA BENELLI MONTEFELTRO WOOD c20 71,"BERETTA BENELLI IBERICA, SA",,,BENESC044225,BENESC044225
BENESC044,ESCOPETA BENELLI MONTEFELTRO ZURDO 12,"BERETTA BENELLI IBERICA, SA",,,BENESC044235,
ESC043103,ESCOPETA BENELLI PASION MK2 71,"BERETTA BENELLI IBERICA, SA",,,BENESC043103,BENESC043103
ESC040838,ESCOPETA BENELLI RAFAEELLO CRIOCOMFORT ZURDO 71,"BERETTA BENELLI IBERICA, SA",,,BENESC040838,BENESC040838
SC040803,ESCOPETA BENELLI RAFAELLO BE DIAMOND 12 71,"BERETTA BENELLI IBERICA, SA",,,SC040803,BENESC040903
0A4740000,ESCOPETA BENELLI RAFAELLO BE DIAMOND 71,"BERETTA BENELLI IBERICA, SA",,,A4740000,A4740000
BENESC040,ESCOPETA BENELLI RAFAELLO BLACK 20 71 AL,"BERETTA BENELLI IBERICA, SA",,,BENESC040,BENESC040896
ESC040898,ESCOPETA BENELLI RAFAELLO BLACK 71,"BERETTA BENELLI IBERICA, SA",,,BENESC040898,
ESC040916,ESCOPETA BENELLI RAFAELLO DELUXE 71,"BERETTA BENELLI IBERICA, SA",,,BENESC040916,
ESC040851,ESCOPETA BENELLI RAFAELLO ETHOS c20 71,"BERETTA BENELLI IBERICA, SA",,,BENESC040851,BENESC040851
619040CSE,ESCOPETA BENELLI RAFAELLO PB DELUXE 12 71,"BERETTA BENELLI IBERICA, SA",,,619040CSE,BENESC040916
ESC040813,ESCOPETA BENELLI RAFAELLO PB DELUXE 71,"BERETTA BENELLI IBERICA, SA",,,318040CSE,BENESC040813
ESC040890,ESCOPETA BENELLI RAFAELLO SILVER 12 71,"BERETTA BENELLI IBERICA, SA",,,098040CSE,BENESC040890
ESC040970,ESCOPETA BENELLI RAFAELLO SPORT 12 71,"BERETTA BENELLI IBERICA, SA",,,ESC040970,
ESC040903,ESCOPETA BENELLI RAFFAELLO BE DIAMOND C/12 71,"BERETTA BENELLI IBERICA, SA",,,BENESC040803,BENESC040803
ESC040919,ESCOPETA BENELLI RAFFAELLO LE C/12 71,"BERETTA BENELLI IBERICA, SA",,,ESC040919,
ESC040819,ESCOPETA BENELLI RAFFAELLO POWER BORE 71,"BERETTA BENELLI IBERICA, SA",,,BENESC040819,BENESC040819
ESC026921,ESCOPETA BERETTA 686 SILVER PIGEON I PICO OCA 71,"BERETTA BENELLI IBERICA, SA",,,BERESC026921,BERESC026921
ESC026924,ESCOPETA BERETTA 686 SPI MY24 BF 71,"BERETTA BENELLI IBERICA, SA",,,ESC026924,BERESC026924
ESC026930,ESCOPETA BERETTA 686 SPI MY24 SPORT C12,"BERETTA BENELLI IBERICA, SA",,,ESC026930,
ESC026810,ESCOPETA BERETTA 687 SP3 c20 71,"BERETTA BENELLI IBERICA, SA",,,018620CSE,BERESC026810
ESC026829,ESCOPETA BERETTA 687 SP3 c20 76 BF,"BERETTA BENELLI IBERICA, SA",,,BERESC026829,BERESC026829
149620CSE,ESCOPETA BERETTA 688 BLACK SPORT BF 12 76,"BERETTA BENELLI IBERICA, SA",,,149620CSE,BERESC026941
ESC026944,ESCOPETA BERETTA 688 BLACK TRAP B FAST CAL 12,"BERETTA BENELLI IBERICA, SA",,,BERESC026944,BERESC026944
RESC02700,ESCOPETA BERETTA 694 BLACK DLC TRAP BFAST 12 76,"BERETTA BENELLI IBERICA, SA",,,RESC02700,
ESC025648,ESCOPETA BERETTA 694 DTL 76,"BERETTA BENELLI IBERICA, SA",,,BERESC025648,BERESC025648
BERESC026,ESCOPETA BERETTA 694 TRAP BEST FAST 76,"BERETTA BENELLI IBERICA, SA",,,BERESC025611,BERESC025611
ESC025610,ESCOPETA BERETTA 694 TRAP GUARDAMANOS REDOND 76,"BERETTA BENELLI IBERICA, SA",,,BERESC025610,BERESC025610
ESC042103,ESCOPETA BERETTA A300 OUTLANDER 71,"BERETTA BENELLI IBERICA, SA",,,BERESC042103,BERESC042103
ESC042801,ESCOPETA BERETTA A300 ULTIMA SYNT 71,"BERETTA BENELLI IBERICA, SA",,,BERESC042801,BERESC042801
ESC041709,ESCOPETA BERETTA A400 ACTION 71 PRED GP,"BERETTA BENELLI IBERICA, SA",,,ESC041709,BERESC041709
ESC041704,ESCOPETA BERETTA A400 ACTION C20 OCHP 71,"BERETTA BENELLI IBERICA, SA",,,BERESC041704,BERESC041704
ESC041716,ESCOPETA BERETTA A400 ACTION ZURDO 71,"BERETTA BENELLI IBERICA, SA",,,BERESC041717,BERESC041717
ESC041903,ESCOPETA BERETTA A400 LITE 20 71 SIN GP KOP,"BERETTA BENELLI IBERICA, SA",,,BERESC041903,BERESC041903
ESC042108,ESCOPETA BERETTA A400 LITE CAMO MAX7 KO 71,"BERETTA BENELLI IBERICA, SA",,,ESC042108,BERESC042108
ESC041911,ESCOPETA BERETTA A400 LITE KOP 71,"BERETTA BENELLI IBERICA, SA",,,ESC041911,BERESC041911
ESC041921,ESCOPETA BERETTA A400 LITE WOOD 71,"BERETTA BENELLI IBERICA, SA",,,BERESC041921,BERESC041921
ESC041917,ESCOPETA BERETTA A400 LITE ZURDO KO 71 CM,"BERETTA BENELLI IBERICA, SA",,,BERESC041917,BERESC041917
ESC042111,ESCOPETA BERETTA A400 LITE c20 CAMO MAX 7 71,"BERETTA BENELLI IBERICA, SA",,,BERESC042111,BERESC042111
ESC049414,ESCOPETA BERETTA A400 UPLAND C20 71,"BERETTA BENELLI IBERICA, SA",,,ESC049414,
ESC049408,ESCOPETA BERETTA A400 UPLAND SIN KOP 71,"BERETTA BENELLI IBERICA, SA",,,BERESC049408,BERESC049408
ESC049420,ESCOPETA BERETTA A400 UPLAND c28 SIN KOP 71,"BERETTA BENELLI IBERICA, SA",,,BERESC049420,BERESC049420
ESC041926,ESCOPETA BERETTA A400L 12 71,"BERETTA BENELLI IBERICA, SA",,,ESC041926,
ESC042014,ESCOPETA BERETTA AX800 CAMO MAX7 C12 71,"BERETTA BENELLI IBERICA, SA",,,ESC042014,
ESC042011,ESCOPETA BERETTA AX800 SYNTHETIC 12 71 CM,"BERETTA BENELLI IBERICA, SA",,,BERESC042011,BERESC042011
BERESC025,ESCOPETA BERETTA DT11 DLC BFAST,"BERETTA BENELLI IBERICA, SA",,,BERESC023755,
ESC023826,ESCOPETA BERETTA DT11 SUPERSPORT BFAST 12 76,"BERETTA BENELLI IBERICA, SA",,,ESC023826,
ESC023647,ESCOPETA BERETTA DT11 TRAP GUARDAMANOS REDOND 76,"BERETTA BENELLI IBERICA, SA",,,BERESC023647,BERESC023647
ESC022062,ESCOPETA BERETTA ULTRALEGGERO KO 71,"BERETTA BENELLI IBERICA, SA",,,ESC022062,BERESC022062
ESC022046,ESCOPETA BERETTA ULTRALEGGERO SILVER 71,"BERETTA BENELLI IBERICA, SA",,,BERESC022046,BERESC022046
ESC022057,ESCOPETA BERETTA ULTRALEGGERO SILVER c20 71,"BERETTA BENELLI IBERICA, SA",,,750220CSE,BERESC022057
ESC049404,ESCOPETA BERETTTA A400 UPLAND KOP 71,"BERETTA BENELLI IBERICA, SA",,,BERES049404,BERES049404
80103902,ESCOPETA BLASER F16 71,"BLASER OUTDOOR GROUP, SL",,,80103902,80103902
9977,ESCOPETA BROWNING 825 PRO TRAP ADJ 76,"AGUIRRE Y CIA, SA",,,9977,
1890,ESCOPETA BROWNING B525 GAME 1 12M 71,"AGUIRRE Y CIA, SA",,,1890,1890
1804363,ESCOPETA BROWNING B525 GAME 1 20M 71,"AGUIRRE Y CIA, SA",,,18043613,3927
3927,ESCOPETA BROWNING B525 GAME ONE 71 20,"AGUIRRE Y CIA, SA",,,3927,
6003,ESCOPETA BROWNING B525 SPORT ONE 76,"AGUIRRE Y CIA, SA",,,6003,6003
5998,ESCOPETA BROWNING B525 SPT ADJ 12 76,"AGUIRRE Y CIA, SA",,,5998,
4531,ESCOPETA BROWNING B525 SPT ALMINATE ADJ 76,"AGUIRRE Y CIA, SA",,,4531,
6026,ESCOPETA BROWNING B525 TRAP 76,"AGUIRRE Y CIA, SA",,,6026,6026
9599,ESCOPETA BROWNING B825 GAME 71 DS,"AGUIRRE Y CIA, SA",,,9599,9599
9975,ESCOPETA BROWNING B825 S3 ADJ 76 12,"AGUIRRE Y CIA, SA",,,9975,
9979,ESCOPETA BROWNING B825 SPORT AJ 76,"AGUIRRE Y CIA, SA",,,9979,9979
9985,ESCOPETA BROWNING B825 SPORT TF 76 DS,"AGUIRRE Y CIA, SA",,,9985,
9596,ESCOPETA BROWNING B825 SPORTER ADJ TF 76 DS EXT,"AGUIRRE Y CIA, SA",,,9596,9596
5092,ESCOPETA BROWNING MAXUS 2 CAMO MOBUC 12  71,,,,50922,5092
5096,ESCOPETA BROWNING MAXUS 2 COMPO BLACK CF 12 66,"AGUIRRE Y CIA, SA",,,5096,5096
5097,ESCOPETA BROWNING MAXUS 2 COMPOSITE BLACK 71,"AGUIRRE Y CIA, SA",,,5097,5097
6006,ESCOPETA BROWNING MAXUS 2 HUNTER 71,"AGUIRRE Y CIA, SA",,,6006,6006
6007,ESCOPETA BROWNING MAXUS 2 WOOD BLACK GOLD 71,"AGUIRRE Y CIA, SA",,,6007,6007
7705,ESCOPETA BROWNING MAXUS 2 WOOD BLK GOLD 66,"AGUIRRE Y CIA, SA",,,7705,7705
5095,ESCOPETA BROWNING MAXUS2 COMPO BLACK CF 71,"AGUIRRE Y CIA, SA",,,5095,5095
511217241,ESCOPETA BROWNING SX4 BIG GAME COMPO SMOOTH 61,"AGUIRRE Y CIA, SA",,,511217241,511217241
8692,ESCOPETA BROWNING ULTRA XS BLACK LAM 76,"AGUIRRE Y CIA, SA",,,8692,8692
982011109,ESCOPETA DE JUGUETE PARALELA 111,"PARABELLUM, SLU",,,"8,41E+12",111/0
982011703,ESCOPETA DE JUGUETE SUPERPUESTA,"PARABELLUM, SLU",,,"8,41E+12",117/0
391556386,ESCOPETA FABARM ELOS B2 INNER HP c20 71,"ARDESA, SA",,,040-391556386,040-391556386
315256386,ESCOPETA FABARM ELOS B2 NOTE INNER HP 66,"ARDESA, SA",,,040-31256386,040-31256386
392256386,ESCOPETA FABARM ELOS N2 NOTTE 71,"ARDESA, SA",,,040-393256386,040-393256386
526215499,ESCOPETA FABARM MARTIAL ULTRASHORT 12X14,"ARDESA, SA",,,040-526215499,040-526215499
547216994,ESCOPETA FABARM STF COMPACT NICKEL FULL 12X14,"ARDESA, SA",,,040-547216994,040-547216994
ESC045671,ESCOPETA FRANCHI AFFINITY 3 CAMO MAX5 66,"BERETTA BENELLI IBERICA, SA",,,FRAESC045671,FRAESC045671
ESC045698,ESCOPETA FRANCHI AFFINITY 3 SYNT ZURDO c20 66,"BERETTA BENELLI IBERICA, SA",,,FRAESC045698,FRAESC045698
ESC045669,ESCOPETA FRANCHI AFFINITY 3 SYNT c20 71,"BERETTA BENELLI IBERICA, SA",,,FRAES045669,FRAES045669
ESC045689,ESCOPETA FRANCHI AFFINITY 3 WOOD 66,"BERETTA BENELLI IBERICA, SA",,,FRAESC045689,FRAESC045689
ESC026515,ESCOPETA FRANCHI FEELING 20 61 CM,"BERETTA BENELLI IBERICA, SA",,,FRAESC026515,FRAESC026515
FRAESC026,ESCOPETA FRANCHI FEELING ALUMINIO 12 61,"BERETTA BENELLI IBERICA, SA",,,FRAESC026512,FRAESC026512
ESC026514,ESCOPETA FRANCHI FEELING ALUMINIO 71,"BERETTA BENELLI IBERICA, SA",,,FRAESC026514,FRAESC026514
ESC026517,ESCOPETA FRANCHI FEELING ALUMINIO c20 71,"BERETTA BENELLI IBERICA, SA",,,FRAESC026517,FRAESC026517
27MAGNUSL,ESCOPETA GUERINI MAGNUS LIGHT 71 CAL 20,"NOBEL SPORT ESPAÑA, SAU",,,27MAGNUSL,27MAGNUSLIGHTAS207
KR340410,ESCOPETA KRICO PR c410 71,"SPORT JADG, SL",,,KR340410,KR340410
0KR240410,ESCOPETA KRICO SPZM c410 71,"SPORT JADG, SL",,,KR240410,KR240410
2400120,ESCOPETA MAVERICK 88 C12 5+1,"BORCHERS, SA",,,2400120,
2400204,ESCOPETA MOSSBERG 590 SHOCKWAVE CERAKOTE,"BORCHERS, SA",,,2400204,2400204
2400190,ESCOPETA MOSSBERG GOLD RESERVE CAL 12,"BORCHERS, SA",,,2400190,2400190
BE0002534,ESCOPETA PERAZZI HIGH TECH 75 7 MCH/10 REG INK,"IBERICA DE ARMERIAS, SCCL",,,BE0002534,IBE-0002534
BE0070850,ESCOPETA PERAZZI HIGH TECH 75 7/10+TRIMELINE,"IBERICA DE ARMERIAS, SCCL",,,BE0070850,IBE-0070850
BE0070849,ESCOPETA PERAZZI HIGH TECH X 75 7/10,"IBERICA DE ARMERIAS, SCCL",,,BE0070849,IBE-0070849
00ES41071,ESCOPETA STINGER ELEGANT A4 410 PARALELA,"SKYWAY TECHNOLOGY, SA",,,ES41071,ES41071
0ESPE2871,ESCOPETA STINGER ELEGANT A6 28 PARALELA,"SKYWAY TECHNOLOGY, SA",,,ESPE2871,ESPE2871
ESTK36410,ESCOPETA STINGER MONOTIRO C/410,"SKYWAY TECHNOLOGY, SA",,,ESTK36410,
0ESPZ2871,ESCOPETA STINGER SP c28 71,"SKYWAY TECHNOLOGY, SA",,,0ESPZ2871,ESPZ2871
STOESC042,ESCOPETA STOEGER M3000 PEREG CAMO 12 71 CM,"BERETTA BENELLI IBERICA, SA",,,STOESC042704,STOESC042704
ESPZ41071,ESCOPETA SUPERPUESTA STINGER 410 71,"SKYWAY TECHNOLOGY, SA",,,ESPZ41071,ESPZ41071
4817,ESCOPETA WINCHESTER SX4 BIG GAME RIFLED 61,"AGUIRRE Y CIA, SA",,,4817,4817
2964,ESCOPETA WINCHESTER SX4 COMPOSITE 71,"AGUIRRE Y CIA, SA",,,2964,2964
4613,ESCOPETA WINCHESTER SX4 COMPOSITE c20 71,"AGUIRRE Y CIA, SA",,,4613,4613
5104,ESCOPETA WINCHESTER SX4 FIELD 71,"AGUIRRE Y CIA, SA",,,5104,5104
5995,ESCOPETA WINCHESTER SX4 FIELD LH 71,"AGUIRRE Y CIA, SA",,,5995,
29900,ESCOPETA WINCHESTER SXP DEFENDER HIGH CAPACITY,"AGUIRRE Y CIA, SA",,,29900,29900
5193,ESCOPETA WINCHESTER SXP XTREM DARK EARTH DEF 61,"AGUIRRE Y CIA, SA",,,5193,5193
ESC041832,ESCPOPETA BENELLI M2 BLACK 66,"BERETTA BENELLI IBERICA, SA",,,BENESC041832,BENESC041832
00RE31567,ESPACIADORES BERGARA CULATA B14 HUNTER/SPORTER,"DIKAR, S. COOP",,,"8,41E+12",RE31567
0000Z4802,ESPOSAS DOBLE CIERRE NIQUEL,"SKYWAY TECHNOLOGY, SA",,,0000Z4802,Z4802
000C5G575,ESPULSOR AMBIDIESTRO BENELLI,"BERETTA BENELLI IBERICA, SA",,,000C5G575,C5G575
590572218,ESPUMA DE LIMPIEZA BIODREGADRABLE WELLGUN,"COMERCIAL EL CALDEN, SL",,400ML,"5,91E+12",WG-002
000ESPESA,ESTRATICOL 545,"CANTOS DE PAJAROS DIGITALES, SL",,,ESPESA,ESPESA
"0,00E+00",ESTRATTORE DX DT10 FRES,"BERETTA BENELLI IBERICA, SA",,,"0,00E+00",
"0,00E+00",ESTRATTORE SX DT10 FRES,"BERETTA BENELLI IBERICA, SA",,,"0,00E+00",
841427305,ESTUCHE BERGARA PORTA BALAS 9 BALAS,"DIKAR, S. COOP",,,"8,41E+12",
00009020B,ESTUCHE PLASTICO RIFLE CAL 30.30/30.06/3,"EISPORT, SL",,,9020B,9020B
1100ER,ESTUCHE RIGIDO NEGRO MEGALINE CORDENADAS,"SPORT JADG, SL",CORDENADAS,125X25X11 CM,1100ER,
1200ER,ESTUCHE RIGIDO PARA ARMAS MEGALINE,"SPORT JADG, SL",,125X25X11 CM,1200ER,
846028963,EXPOSITOR MORAKNIV 100 CUCHILLOS BASIC 511,"J. ESTELLER, SL",,,"7,39E+12",14281
"0,00E+00",EXTRACTOR DERECHO c12 0005E52329,"BERETTA BENELLI IBERICA, SA",,,"0,00E+00",E52329
ELECTRICI,FACTURA ELECTRICIDAD,"GREENING SMART ENERGY, SL",,,ELECTRICIDAD,ELECTRICIDAD
540906104,"FILTRO OLIGHT ROJO M2X-UT, M3X- SR51,SR52","COMERCIAL EL CALDEN, SL",,,"6,93E+12",FSR51-R
540906111,"FILTRO OLIGHT VERDE  M2X-UT, M3X- SR51,SR52","COMERCIAL EL CALDEN, SL",,,"6,93E+12",FSR51-G
FORMACION,FORMACION EN GALERIA POLIGONO PARADA,,,,FORMACION,
FORMTRABA,FORMACION TEORICA DE CONTRATOS PARA LA FORMACION,,,,FORMTRABA,
0FX19328B,"FORRO IMPACT 28X362,5 SNIPER",EMERITO R. RODRIGUEZ FRIAS,,,FX19328B,FX19328B
P34210000,FORRO POLAR BERETTA FULL ZIP FLEECE,"BERETTA BENELLI IBERICA, SA",,,P34210000,P3421
827190449,FORRO POLAR DEERHUNTER REVERSIBLE GAMEKEEPER,"GAMO OUTDOOR, SL",,,827190449,3000287
XHGDXH000,FORRO POLAR HART GARDE XHP,"SUMINISTROS EVIA, SL",,,XHGDXH,XHGDXH
292364542,FORRO POLAR HART TOPLO-ZN,"SUMINISTROS EVIA, SL",,,292364542,XHTOP
10190014,FORRO POLAR KAMKO HARKILA,OUTFIT INTERNATIONAL AS,,,10190014,10190014
10190017,FORRO POLAR KAMKO HARKILA NOCTYX WSP REVERSIBLE,OUTFIT INTERNATIONAL AS,,,10190017,10190017
E03570,FRENO DE BOCA BERETTA BRX1,"BERETTA BENELLI IBERICA, SA",,,E03570,
273005778,FRENO DE BOCA BERGARA D17.8 5/8-24,"DIKAR, S. COOP",,,"8,41E+12",RE33192B
273000346,FRENO DE BOCA BERGARA D19 5/8 PAVONADO,"DIKAR, S. COOP",,,"8,41E+12",
0FRENOBRO,FRENO DE BOCA BROWNING 14-100,"ATLAS ARMEROS, SL",,,0FRENOBRO,
9306752,FRENO DE BOCA MANNLINCHER M15X1,"BORCHERS, SA",,,"6,88E+11",
4951600,FRENO DE BOCA OPTIK ARMMS 14X1,"BORCHERS, SA",,,4951600,4951600
4950080,FRENO DE BOCA OPTIK ARMS 15X1,"BORCHERS, SA",,,4950080,4950080
S54063157,FRENO DE BOCA SAKO M15X1,"BERETTA BENELLI IBERICA, SA",,,"6,44E+12",
F0468200,FRENO DE BOCA SAKO S20 M14X1,"BERETTA BENELLI IBERICA, SA",,,F0468200,F0468200
588207092,FRENO DE BOCA SAKO SLIM MT5/8X24,"BERETTA BENELLI IBERICA, SA",,,"6,44E+12",
922061368,FUENTE ALIMENTACION PORTATIL BRESSER 100 VATIOS,"BRESSER IBERIA, SLU",,,"4,01E+12",3810000
640029412,FULMINANTES RWS  Nº 1081 (200 uds),"BERETTA BENELLI IBERICA, SA",,,"4,00E+12",
873442006,FUNDA ALPINE VISOR NEGRA 20-50 MM,"COMERCIAL EL CALDEN, SL",,20-50 MM,"8,73E+11",AL-009
153095007,FUNDA ARCEA BULLPUP 70,"ARCEA EUROSPORT, SL",,,"8,40E+12",FN095
30900126,FUNDA ARCEA SNIPER PRO,"ARCEA EUROSPORT, SL",,,"8,40E+12",fn032
804093120,FUNDA ARNES BLASER HUNTEC,"BLASER OUTDOOR GROUP, SL",,,80409312,80409312
PORTU-6,FUNDA ARTESANA DE LONA ALARGADA 130CM,PROVEDORES VARIOS,,,PORTU-6,
PORTU-5,FUNDA ARTESANA DE LONA ESTRECHA,PROVEDORES VARIOS,,,PORTU-5,
PORTU-2,FUNDA ARTESANA DE RIFLE DE LONA CLARA,PROVEDORES VARIOS,,,PORTU-2,
PORTU-1,FUNDA ARTESANA DE RIFLE DE LONA OSCURA,PROVEDORES VARIOS,,,PORTU-1,
80059998,FUNDA BENELLI ESCOPETA VERDE,"BERETTA BENELLI IBERICA, SA",,"20x141x7,5 CM",80059998,800121
917812007,FUNDA BENISPORT ACOLCHADA ACRA,"JOSE MONLLOR, SL",,,"8,43E+12",812
917814001,FUNDA BENISPORT ACOLCHADA BAMAKO,"JOSE MONLLOR, SL",,,"8,43E+12",814
917813004,FUNDA BENISPORT ACOLCHADA BANJUL,"JOSE MONLLOR, SL",,,"8,43E+12",813
917820002,FUNDA BENISPORT DOS PIEZAS LEON,"JOSE MONLLOR, SL",,,"8,43E+12",820
805183267,FUNDA BERETTA CALCETIN CAMO PACKABLE WR GUN COVER,"BERETTA BENELLI IBERICA, SA",,103/118 CM,"8,05E+12",FO721T240408C7UNI
F0841T226,FUNDA BERETTA CHALLENGE 128CM,"BERETTA BENELLI IBERICA, SA",,,"8,05E+12",
805183255,FUNDA BERETTA ESCOPETA GAMEKEEPER EVO 128 CM,"BERETTA BENELLI IBERICA, SA",,128 CM,"8,05E+12",FO631T226207V7UNI
824420726,FUNDA BERETTA ESCOPETA WAX CANAPA AND LETHER,"BERETTA BENELLI IBERICA, SA",F0A7,,"8,24E+11",SFOA7206187
832575053,FUNDA BERETTA EVO RIFLE 120CM,"BERETTA BENELLI IBERICA, SA",FUNDA DOBLE,133 CM,"8,05E+12",FO671T226207V7UNI
854699313,FUNDA BERETTA F013,"BERETTA BENELLI IBERICA, SA",,,"8,03E+12",SFO13004309
832690695,FUNDA BERETTA GAMEEKEPER EVO PARA CAÑON,"BERETTA BENELLI IBERICA, SA",,,"8,05E+12",FO911T24010999UNI
832649860,FUNDA BERETTA PACKABLE 103/118CM GREEN MOST,"BERETTA BENELLI IBERICA, SA",,,"8,05E+12",FO721T240407AAUNI
832649945,FUNDA BERETTA PACKABLE 118/135CM VERDE,"BERETTA BENELLI IBERICA, SA",VERDE,118/135CM,"8,05E+12",FO851T240407AAUNI
645643250,FUNDA BERETTA RIFLE GAME KEEPER EVO DOBLE 133 CM,"BERETTA BENELLI IBERICA, SA",FUNDA DOBLE,133 CM,"8,05E+12",FO681T226207V7UNI
